;Scopy version,e02cebe
;Exported on,Thursday December 09/12/2021
;Device,M2K
;Nr of samples,1000
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
417,446.881,12.017,-1.45111
418,449.982,12.1749,-2.60599
419,453.104,12.1205,-2.46815
420,456.248,12.026,-3.90628
421,459.414,12.2081,-2.74626
422,462.602,12.1173,-2.85915
423,465.812,11.9179,-3.99486
424,469.044,12.2268,-2.83102
425,472.298,12.1447,-3.16755
426,475.575,12.0664,-2.87564
427,478.875,11.8843,-3.49905
428,482.198,12.1144,-3.44442
429,485.544,12.1048,-3.30108
430,488.913,11.8642,-2.21645
431,492.305,12.1713,-3.69206
432,495.721,12.0724,-3.50504
433,499.161,12.0623,-3.21741
434,502.624,11.8457,-2.87567
435,506.112,12.1474,-3.77378
436,509.623,12.0896,-3.51803
437,513.159,11.8579,-3.21991
438,516.72,12.2034,-3.83726
439,520.305,12.1109,-3.93867
440,523.916,12.0645,-3.49223
441,527.551,11.9987,-4.53353
442,531.211,12.1129,-4.32331
443,534.897,12.0768,-4.06043
444,538.609,12.0361,-3.63913
445,542.346,11.9358,-2.34143
446,546.109,12.0681,-4.53877
447,549.898,12.0494,-4.17666
448,553.714,12.0261,-3.71615
449,557.556,11.9389,-2.55702
450,561.424,11.9772,-4.64676
451,565.32,11.9594,-4.11368
452,569.243,12.0231,-3.95661
453,573.192,11.8374,-3.58232
454,577.169,11.8734,-3.89248
455,581.174,11.9777,-4.46758
456,585.207,12.0016,-3.80832
457,589.267,11.8436,-4.05653
458,593.356,11.8625,-4.03878
459,597.473,11.9321,-3.40309
460,601.619,11.9764,-4.14836
461,605.793,12.0298,-4.06542
462,609.997,11.8773,-4.94021
463,614.229,11.8871,-4.42987
464,618.491,11.974,-3.5908
465,622.783,12.0126,-4.01185
466,627.104,11.9536,-2.82355
467,631.455,11.9413,-3.12664
468,635.836,11.8989,-4.01278
469,640.248,12.0561,-3.83344
470,644.691,12.0396,-4.38296
471,649.164,12.1559,-5.43842
472,653.668,11.9844,-3.34603
473,658.204,12.0455,-3.55013
474,662.771,12.0289,-4.12487
475,667.37,11.8404,-5.42152
476,672,11.9382,-3.35653
477,676.663,11.9985,-3.40732
478,681.358,12.0344,-3.89415
479,686.086,12.0781,-4.69769
480,690.846,12.0598,-6.13498
481,695.64,12.089,-3.52497
482,700.467,12.1712,-4.27839
483,705.327,12.0745,-4.15939
484,710.221,12.038,-5.33121
485,715.149,12.014,-3.59541
486,720.111,12.0153,-3.72515
487,725.108,12.0797,-3.99789
488,730.139,12.0949,-5.63189
489,735.205,12.0454,-5.43781
490,740.306,11.9621,-5.39495
491,745.443,12.1754,-5.8084
492,750.615,11.9316,-6.60876
493,755.824,11.8827,-6.36293
494,761.068,11.8527,-5.8547
495,766.349,11.9201,-5.6762
496,771.666,11.9271,-7.04298
497,777.021,11.8262,-6.69355
498,782.412,11.76,-6.13765
499,787.841,11.7606,-5.24027
500,793.307,11.8906,-5.07337
501,798.812,11.9135,-5.60375
502,804.355,11.7158,-6.20245
503,809.936,11.7231,-4.93994
504,815.556,11.819,-4.61475
505,821.214,11.8342,-4.96797
506,826.912,11.9718,-5.6374
507,832.65,11.9026,-6.00584
508,838.428,11.7204,-7.06646
509,844.245,11.9742,-4.61082
510,850.103,11.8885,-4.61735
511,856.002,12.0231,-6.61456
512,861.941,11.9134,-6.49212
513,867.922,11.8684,-6.28741
514,873.944,11.6507,-6.60494
515,880.008,12.0527,-6.86942
516,886.114,11.8289,-7.64639
517,892.262,11.9292,-7.22237
518,898.453,11.8271,-7.04961
519,904.687,11.7996,-6.70186
520,910.965,12.0019,-6.26661
521,917.286,12.013,-7.11607
522,923.65,11.7619,-8.00431
523,930.059,11.7266,-7.66964
524,936.513,11.6649,-7.25906
525,943.011,11.6679,-6.36719
526,949.554,11.7397,-6.45841
527,956.142,11.825,-5.59542
528,962.777,11.54,-7.17667
529,969.457,11.5488,-6.79529
530,976.184,11.6355,-5.4795
531,982.957,11.771,-5.62102
532,989.778,11.8176,-6.18883
533,996.645,11.7796,-6.50254
534,1003.56,11.8267,-6.69308
535,1010.52,11.7451,-6.77342
536,1017.54,11.7156,-6.49962
537,1024.6,11.8004,-7.40852
538,1031.71,11.6736,-7.23158
539,1038.86,11.7182,-6.97911
540,1046.07,11.6687,-7.28228
541,1053.33,11.7327,-7.26092
542,1060.64,11.7263,-6.74363
543,1068,11.5877,-6.84329
544,1075.41,11.6392,-7.0014
545,1082.87,11.6151,-6.95937
546,1090.38,11.6185,-6.64381
547,1097.95,11.6315,-6.9823
548,1105.57,11.5709,-7.33779
549,1113.24,11.6398,-7.17128
550,1120.96,11.614,-7.07666
551,1128.74,11.6416,-7.07229
552,1136.57,11.5594,-7.09672
553,1144.46,11.5283,-7.20831
554,1152.4,11.5631,-7.72955
555,1160.4,11.5939,-7.1562
556,1168.45,11.5878,-7.5299
557,1176.56,11.5908,-7.46562
558,1184.72,11.658,-7.11161
559,1192.94,11.5585,-7.59508
560,1201.22,11.5931,-7.13042
561,1209.55,11.5804,-7.81379
562,1217.95,11.5685,-7.46361
563,1226.4,11.4456,-7.89256
564,1234.91,11.4769,-7.18595
565,1243.47,11.5581,-7.55683
566,1252.1,11.5688,-7.05636
567,1260.79,11.5009,-6.98811
568,1269.54,11.4933,-7.57284
569,1278.35,11.4389,-7.51159
570,1287.22,11.4477,-7.20117
571,1296.15,11.3979,-7.44532
572,1305.14,11.4419,-7.28251
573,1314.2,11.385,-7.52335
574,1323.32,11.4521,-7.18827
575,1332.5,11.3806,-7.41264
576,1341.74,11.411,-7.32445
577,1351.05,11.4037,-7.1541
578,1360.43,11.3834,-7.25919
579,1369.87,11.3221,-7.54485
580,1379.37,11.3689,-7.49327
581,1388.94,11.2736,-7.06526
582,1398.58,11.3137,-7.48612
583,1408.29,11.3922,-7.16599
584,1418.06,11.375,-7.32765
585,1427.9,11.3287,-7.174
586,1437.8,11.3641,-7.30989
587,1447.78,11.3402,-7.27216
588,1457.83,11.3197,-7.11908
589,1467.94,11.3097,-7.15204
590,1478.13,11.2595,-6.98007
591,1488.38,11.3025,-7.13297
592,1498.71,11.2278,-7.0996
593,1509.11,11.403,-7.01893
594,1519.58,11.2924,-7.27262
595,1530.12,11.199,-6.8569
596,1540.74,11.2786,-7.64869
597,1551.43,11.3138,-6.24105
598,1562.2,11.2787,-7.29927
599,1573.04,11.2396,-7.31402
600,1583.95,11.2468,-7.04927
601,1594.94,11.1608,-6.56348
602,1606.01,11.3257,-6.4355
603,1617.15,11.2128,-6.4483
604,1628.37,11.2189,-7.13664
605,1639.67,11.2123,-6.44959
606,1651.05,11.2515,-6.78694
607,1662.5,11.222,-6.68605
608,1674.04,11.2028,-7.02046
609,1685.66,11.1706,-6.83411
610,1697.35,11.2782,-6.61981
611,1709.13,11.2211,-6.88427
612,1720.99,11.1985,-6.40162
613,1732.93,11.2123,-6.58573
614,1744.95,11.1856,-6.91116
615,1757.06,11.1599,-6.20852
616,1769.25,11.1842,-6.56753
617,1781.53,11.1248,-6.61261
618,1793.89,11.1264,-6.49393
619,1806.34,11.1527,-7.00506
620,1818.87,11.1966,-5.63761
621,1831.49,11.1938,-5.92085
622,1844.2,11.1173,-6.08391
623,1857,11.2172,-6.22515
624,1869.88,11.1827,-6.40555
625,1882.86,11.1858,-6.09279
626,1895.92,11.1829,-6.07778
627,1909.07,11.1773,-6.62038
628,1922.32,11.1656,-5.99372
629,1935.66,11.1317,-6.04017
630,1949.09,11.1335,-6.47759
631,1962.61,11.1683,-5.43895
632,1976.23,11.1961,-6.0723
633,1989.94,11.137,-5.05834
634,2003.75,11.2449,-6.40281
635,2017.66,11.2488,-5.70561
636,2031.65,11.117,-5.51808
637,2045.75,11.3311,-6.36532
638,2059.95,11.2055,-5.41211
639,2074.24,11.2005,-5.48035
640,2088.63,11.1929,-4.80635
641,2103.12,11.2046,-5.09427
642,2117.72,11.234,-5.08479
643,2132.41,11.2406,-5.36278
644,2147.21,11.1994,-5.08692
645,2162.11,11.3047,-5.66605
646,2177.11,11.3362,-5.65716
647,2192.21,11.232,-5.11073
648,2207.42,11.2485,-5.03178
649,2222.74,11.1693,-5.66862
650,2238.16,11.1618,-5.03033
651,2253.69,11.1196,-4.41957
652,2269.33,11.2721,-4.65322
653,2285.08,11.2208,-4.74554
654,2300.93,11.3795,-5.24727
655,2316.9,11.3303,-4.37243
656,2332.97,11.1746,-4.90454
657,2349.16,11.2992,-4.79216
658,2365.46,11.348,-4.72118
659,2381.88,11.1794,-3.62455
660,2398.4,11.2906,-4.94401
661,2415.04,11.1793,-4.27135
662,2431.8,11.3703,-3.989
663,2448.67,11.3073,-3.93442
664,2465.66,11.3914,-4.19657
665,2482.77,11.361,-3.65705
666,2500,11.3828,-4.09867
667,2517.35,11.3458,-4.65719
668,2534.81,11.4815,-3.37377
669,2552.4,11.4038,-4.20835
670,2570.11,11.5527,-3.39977
671,2587.94,11.3706,-3.87328
672,2605.9,11.3719,-3.00629
673,2623.98,11.438,-4.0489
674,2642.19,11.3645,-3.9751
675,2660.52,11.4678,-3.80113
676,2678.98,11.4006,-3.7759
677,2697.57,11.52,-3.72206
678,2716.29,11.4069,-3.32998
679,2735.14,11.5563,-3.33743
680,2754.11,11.4711,-3.48948
681,2773.22,11.5771,-3.708
682,2792.47,11.5778,-2.98999
683,2811.84,11.5861,-3.32076
684,2831.35,11.7108,-3.29601
685,2851,11.6517,-3.83615
686,2870.78,11.5937,-3.83912
687,2890.7,11.6147,-2.89567
688,2910.76,11.6179,-3.58642
689,2930.95,11.7311,-3.07822
690,2951.29,11.876,-2.72105
691,2971.77,11.7683,-3.19231
692,2992.39,11.7983,-2.28981
693,3013.15,11.7378,-3.24138
694,3034.06,11.8642,-2.1235
695,3055.11,11.7406,-3.11332
696,3076.31,11.8525,-3.26215
697,3097.66,11.9026,-3.26187
698,3119.15,11.89,-2.7857
699,3140.79,11.8448,-2.12244
700,3162.58,11.9358,-3.26999
701,3184.53,11.9278,-2.03503
702,3206.62,11.9502,-2.27806
703,3228.87,11.931,-3.53629
704,3251.28,12.1171,-2.86964
705,3273.84,12.0575,-2.49544
706,3296.55,12.1538,-3.09602
707,3319.43,12.1234,-2.74805
708,3342.46,12.2819,-3.21838
709,3365.65,12.0488,-2.17663
710,3389,12.1654,-2.75248
711,3412.52,12.1979,-3.43339
712,3436.2,12.2901,-2.82023
713,3460.04,12.3482,-3.41137
714,3484.05,12.3552,-2.16535
715,3508.22,12.3534,-2.33851
716,3532.56,12.2939,-3.01107
717,3557.08,12.3327,-2.93683
718,3581.76,12.5782,-2.87999
719,3606.61,12.4944,-2.9648
720,3631.63,12.5215,-2.63202
721,3656.83,12.6309,-3.14053
722,3682.21,12.5277,-2.70784
723,3707.76,12.7472,-3.17228
724,3733.48,12.5195,-2.60514
725,3759.39,12.6794,-2.47075
726,3785.47,12.625,-3.07934
727,3811.74,12.7678,-3.57034
728,3838.19,12.7935,-2.04767
729,3864.82,12.8027,-1.47289
730,3891.64,12.8517,-1.65467
731,3918.64,12.889,-2.47
732,3945.83,12.8356,-3.17876
733,3973.21,12.9953,-2.87817
734,4000.78,13.1119,-3.71704
735,4028.54,12.9361,-2.8798
736,4056.49,13.0747,-2.24982
737,4084.63,13.289,-3.45395
738,4112.98,13.2312,-3.07709
739,4141.51,13.2129,-3.0598
740,4170.25,13.1917,-1.36258
741,4199.19,13.2684,-1.74644
742,4228.32,13.4267,-3.14208
743,4257.66,13.6027,-2.29586
744,4287.2,13.3559,-2.20799
745,4316.95,13.6003,-2.88472
746,4346.91,13.545,-2.6621
747,4377.07,13.5589,-2.24271
748,4407.44,13.6294,-3.1797
749,4438.02,13.7105,-3.08455
750,4468.81,13.614,-2.7092
751,4499.82,13.83,-2.67106
752,4531.04,13.8817,-3.00884
753,4562.48,13.897,-4.05645
754,4594.14,14.0894,-2.64484
755,4626.02,14.0431,-3.89274
756,4658.12,14.2548,-2.57606
757,4690.44,14.1001,-2.57597
758,4722.98,14.2804,-3.96021
759,4755.75,14.3923,-3.78003
760,4788.75,14.4888,-2.90274
761,4821.98,14.3748,-3.92812
762,4855.44,14.5989,-4.43182
763,4889.13,14.5813,-4.78287
764,4923.05,14.8271,-4.6453
765,4957.21,14.7154,-3.9896
